genre,month_year,score
Folk_and_Country,2000-12,9.2
Folk_and_Country,2001-02,8.0
Folk_and_Country,2001-03,7.45
Folk_and_Country,2001-09,7.3
Folk_and_Country,2001-10,7.74
Folk_and_Country,2001-11,7.18
Folk_and_Country,2001-12,7.5
Folk_and_Country,2002-02,7.425
Folk_and_Country,2002-04,6.2
Folk_and_Country,2002-05,6.425000000000001
Folk_and_Country,2002-06,6.574999999999999
Folk_and_Country,2002-07,5.4
Folk_and_Country,2002-08,7.016666666666667
Folk_and_Country,2002-09,8.266666666666667
Folk_and_Country,2002-10,6.2
Folk_and_Country,2002-11,7.25
Folk_and_Country,2002-12,6.55
Folk_and_Country,2003-01,6.0
Folk_and_Country,2003-02,7.300000000000001
Folk_and_Country,2003-03,7.3
Folk_and_Country,2003-04,6.8
Folk_and_Country,2003-05,7.75
Folk_and_Country,2003-06,6.716666666666668
Folk_and_Country,2003-07,7.2299999999999995
Folk_and_Country,2003-08,6.25
Folk_and_Country,2003-09,6.866666666666667
Folk_and_Country,2003-10,7.675000000000001
Folk_and_Country,2003-11,8.3
Folk_and_Country,2004-01,7.099999999999999
Folk_and_Country,2004-02,8.2
Folk_and_Country,2004-03,6.642857142857143
Folk_and_Country,2004-04,7.566666666666666
Folk_and_Country,2004-05,7.45
Folk_and_Country,2004-06,8.049999999999999
Folk_and_Country,2004-07,7.2
Folk_and_Country,2004-08,7.75
Folk_and_Country,2004-09,7.633333333333333
Folk_and_Country,2004-10,7.159999999999999
Folk_and_Country,2004-11,6.6
Folk_and_Country,2004-12,7.85
Folk_and_Country,2005-01,8.0
Folk_and_Country,2005-02,8.200000000000001
Folk_and_Country,2005-03,6.466666666666666
Folk_and_Country,2005-04,5.716666666666666
Folk_and_Country,2005-05,7.3875
Folk_and_Country,2005-06,7.166666666666667
Folk_and_Country,2005-07,7.3
Folk_and_Country,2005-08,7.3
Folk_and_Country,2005-09,7.1000000000000005
Folk_and_Country,2005-10,7.266666666666667
Folk_and_Country,2005-11,6.716666666666666
Folk_and_Country,2005-12,7.5
Folk_and_Country,2006-01,6.533333333333334
Folk_and_Country,2006-02,7.0
Folk_and_Country,2006-03,7.325
Folk_and_Country,2006-04,7.125
Folk_and_Country,2006-05,7.139999999999999
Folk_and_Country,2006-06,7.8
Folk_and_Country,2006-07,6.878571428571429
Folk_and_Country,2006-08,7.6000000000000005
Folk_and_Country,2006-09,7.3
Folk_and_Country,2006-10,6.625
Folk_and_Country,2006-11,8.09
Folk_and_Country,2006-12,7.65
Folk_and_Country,2007-01,7.171428571428571
Folk_and_Country,2007-02,6.685714285714285
Folk_and_Country,2007-03,6.816666666666666
Folk_and_Country,2007-04,5.816666666666666
Folk_and_Country,2007-05,6.774999999999999
Folk_and_Country,2007-06,7.95
Folk_and_Country,2007-07,7.220000000000001
Folk_and_Country,2007-08,7.5
Folk_and_Country,2007-09,7.074999999999999
Folk_and_Country,2007-10,6.3500000000000005
Folk_and_Country,2007-11,6.833333333333333
Folk_and_Country,2007-12,6.2625
Folk_and_Country,2008-01,7.125
Folk_and_Country,2008-02,7.380000000000001
Folk_and_Country,2008-03,6.25
Folk_and_Country,2008-04,8.033333333333333
Folk_and_Country,2008-05,7.425
Folk_and_Country,2008-06,7.333333333333335
Folk_and_Country,2008-07,6.833333333333333
Folk_and_Country,2008-08,6.8500000000000005
Folk_and_Country,2008-09,5.775
Folk_and_Country,2008-10,6.8374999999999995
Folk_and_Country,2008-11,7.340000000000001
Folk_and_Country,2008-12,5.300000000000001
Folk_and_Country,2009-01,7.075
Folk_and_Country,2009-02,6.840000000000001
Folk_and_Country,2009-03,7.48125
Folk_and_Country,2009-04,6.733333333333334
Folk_and_Country,2009-05,7.1
Folk_and_Country,2009-06,7.8
Folk_and_Country,2009-07,6.608333333333333
Folk_and_Country,2009-08,7.566666666666666
Folk_and_Country,2009-10,6.3
Folk_and_Country,2009-11,7.5
Folk_and_Country,2009-12,6.4
Folk_and_Country,2010-01,7.433333333333333
Folk_and_Country,2010-02,7.421428571428572
Folk_and_Country,2010-03,6.9
Folk_and_Country,2010-04,6.841666666666668
Folk_and_Country,2010-05,6.216666666666666
Folk_and_Country,2010-06,7.3
Folk_and_Country,2010-07,7.216666666666666
Folk_and_Country,2010-08,7.1
Folk_and_Country,2010-09,7.050000000000001
Folk_and_Country,2010-10,7.133333333333334
Folk_and_Country,2010-11,7.0
Folk_and_Country,2011-01,7.658333333333334
Folk_and_Country,2011-02,7.133333333333333
Folk_and_Country,2011-03,7.016666666666666
Folk_and_Country,2011-04,6.5200000000000005
Folk_and_Country,2011-05,7.140000000000001
Folk_and_Country,2011-06,6.9799999999999995
Folk_and_Country,2011-07,5.9
Folk_and_Country,2011-08,6.980000000000001
Folk_and_Country,2011-09,7.5
Folk_and_Country,2011-10,8.05
Folk_and_Country,2011-11,7.6
Folk_and_Country,2011-12,7.5
Folk_and_Country,2012-01,7.866666666666667
Folk_and_Country,2012-02,8.0
Folk_and_Country,2012-03,8.2
Folk_and_Country,2012-04,7.58
Folk_and_Country,2012-05,7.133333333333333
Folk_and_Country,2012-06,6.949999999999999
Folk_and_Country,2012-08,7.4
Folk_and_Country,2012-09,8.0
Folk_and_Country,2012-11,7.65
Folk_and_Country,2013-01,6.9
Folk_and_Country,2013-02,7.0
Folk_and_Country,2013-03,7.2
Folk_and_Country,2013-04,7.133333333333333
Folk_and_Country,2013-05,6.533333333333334
Folk_and_Country,2013-06,6.85
Folk_and_Country,2013-07,6.324999999999999
Folk_and_Country,2013-09,8.2
Folk_and_Country,2013-10,7.75
Folk_and_Country,2013-12,7.25
Folk_and_Country,2014-01,7.699999999999999
Folk_and_Country,2014-02,8.2
Folk_and_Country,2014-03,7.233333333333334
Folk_and_Country,2014-04,7.0
Folk_and_Country,2014-05,7.725
Folk_and_Country,2014-06,7.449999999999999
Folk_and_Country,2014-07,6.425
Folk_and_Country,2014-09,7.574999999999999
Folk_and_Country,2014-10,8.05
Folk_and_Country,2014-11,7.699999999999999
Folk_and_Country,2014-12,7.9
Folk_and_Country,2015-01,7.6
Folk_and_Country,2015-02,6.875
Folk_and_Country,2015-03,7.45
Folk_and_Country,2015-04,7.300000000000001
Folk_and_Country,2015-05,7.3
Folk_and_Country,2015-06,6.609999999999999
Folk_and_Country,2015-07,6.7
Folk_and_Country,2015-08,7.45
Folk_and_Country,2015-09,7.35
Folk_and_Country,2015-10,7.5
Folk_and_Country,2015-11,6.8
Folk_and_Country,2015-12,7.1
Folk_and_Country,2016-01,6.516666666666667
Folk_and_Country,2016-02,7.1800000000000015
Folk_and_Country,2016-03,7.6125
Folk_and_Country,2016-04,7.6
Folk_and_Country,2016-05,7.083333333333333
Folk_and_Country,2016-06,7.725
Folk_and_Country,2016-07,7.725
Folk_and_Country,2016-08,7.040000000000001
Folk_and_Country,2016-09,7.5
Folk_and_Country,2016-10,7.5
Folk_and_Country,2016-11,7.733333333333333
Folk_and_Country,2016-12,7.3
